,IATA_CODE,PASS_DEPART,FLIGHT_DEPART
0,ABE,318k,"6,230"
1,ABI,84k,"3,041"
2,ABQ,"2,320k","29,424"
3,ABR,27k,"1,007"
4,ABY,34k,"1,479"
5,ACK,152k,"18,600"
6,ACT,60k,"1,751"
7,ACV,55k,"1,417"
8,ACY,542k,"4,201"
9,ADK,"2,075",103
10,ADQ,79k,"6,910"
11,AEX,122k,"3,376"
12,AGS,270k,"5,117"
13,AKN,33k,"5,743"
14,ALB,"1,275k","19,118"
15,ALO,25k,642
16,AMA,340k,"5,789"
17,ANC,"2,447k","58,172"
18,APN,"10,000",869
19,ASE,233k,"4,774"
20,ATL,"43,909k","392,255"
21,ATW,257k,"5,177"
22,AUS,"5,663k","56,564"
23,AVL,393k,"6,409"
24,AVP,216k,"5,084"
25,AZO,121k,"3,192"
26,BDL,"2,894k","32,707"
27,BET,155k,"36,819"
28,BFL,120k,"3,559"
29,BGM,78k,"2,487"
30,BGR,235k,"4,412"
31,BHM,"1,323k","19,520"
32,BIL,419k,"10,472"
33,BIS,261k,"5,085"
34,BJI,25k,"1,216"
35,BLI,443k,"5,279"
36,BMI,185k,"3,804"
37,BNA,"5,659k","63,904"
38,BOI,"1,482k","21,358"
39,BOS,"13,788k","151,334"
40,BPT,34k,"1,007"
41,BQK,34k,967
42,BQN,202k,"1,831"
43,BRD,18k,885
44,BRO,107k,"2,544"
45,BRW,45k,"4,143"
46,BTM,27k,714
47,BTR,363k,"8,608"
48,BTV,579k,"10,569"
49,BUF,"2,321k","29,945"
50,BUR,"1,971k","24,716"
51,BWI,"11,171k","102,051"
52,BZN,510k,"6,671"
53,CAE,529k,"12,146"
54,CAK,756k,"10,933"
55,CDC,13k,881
56,CDV,17k,"1,384"
57,CEC,"4,915",692
58,CHA,392k,"7,587"
59,CHO,272k,"6,703"
60,CHS,"1,667k","22,522"
61,CID,549k,"11,450"
62,CIU,23k,935
63,CLD,12k,629
64,CLE,"3,818k","49,019"
65,CLL,86k,"2,685"
66,CLT,"20,408k","239,828"
67,CMH,"3,269k","45,003"
68,CMI,88k,"2,215"
69,CMX,26k,952
70,CNY,"2,095",205
71,COD,33k,"1,084"
72,COS,582k,"9,440"
73,COU,63k,"1,375"
74,CPR,102k,"4,233"
75,CRP,336k,"6,277"
